11:48:15.146 -> O3: 1.01 ppm, NOx: 0.88 ppm
11:48:20.272 -> O3: 1.15 ppm, NOx: 1.14 ppm
11:48:25.325 -> O3: 1.17 ppm, NOx: 1.05 ppm
11:48:30.416 -> O3: 0.99 ppm, NOx: 0.87 ppm
11:48:35.509 -> O3: 1.13 ppm, NOx: 1.18 ppm
11:48:40.629 -> O3: 1.18 ppm, NOx: 1.11 ppm
11:48:45.720 -> O3: 1.03 ppm, NOx: 0.87 ppm
11:48:50.822 -> O3: 1.11 ppm, NOx: 1.11 ppm
11:48:55.906 -> O3: 1.24 ppm, NOx: 1.36 ppm
11:49:00.982 -> O3: 1.18 ppm, NOx: 1.07 ppm
11:49:06.092 -> O3: 0.95 ppm, NOx: 0.79 ppm
11:49:11.173 -> O3: 1.16 ppm, NOx: 1.22 ppm
11:49:16.239 -> O3: 1.26 ppm, NOx: 1.28 ppm
11:49:21.343 -> O3: 1.08 ppm, NOx: 0.93 ppm
11:49:26.439 -> O3: 1.15 ppm, NOx: 1.18 ppm
11:49:31.545 -> O3: 1.27 ppm, NOx: 1.34 ppm
11:49:36.628 -> O3: 1.07 ppm, NOx: 0.93 ppm
12:04:32.698 -> O3: 1.00 ppm, NOx: 0.80 ppm
12:04:37.791 -> O3: 0.41 ppm, NOx: 0.15 ppm
12:04:42.911 -> O3: 0.38 ppm, NOx: 0.12 ppm
12:04:47.999 -> O3: 0.36 ppm, NOx: 0.11 ppm
12:04:53.096 -> O3: 0.40 ppm, NOx: 0.13 ppm
12:04:58.158 -> O3: 0.44 ppm, NOx: 0.16 ppm
12:05:03.277 -> O3: 0.44 ppm, NOx: 0.17 ppm
12:05:08.361 -> O3: 1.68 ppm, NOx: 2.40 ppm
12:05:13.462 -> O3: 1.51 ppm, NOx: 1.95 ppm
12:05:18.551 -> O3: 1.50 ppm, NOx: 1.90 ppm
12:05:23.658 -> O3: 1.46 ppm, NOx: 1.85 ppm
12:05:28.752 -> O3: 1.45 ppm, NOx: 1.77 ppm
12:05:33.829 -> O3: 1.47 ppm, NOx: 1.77 ppm
12:05:38.930 -> O3: 1.55 ppm, NOx: 1.98 ppm
12:05:44.018 -> O3: 1.62 ppm, NOx: 2.20 ppm
12:05:49.121 -> O3: 1.60 ppm, NOx: 2.11 ppm
12:05:54.171 -> O3: 1.52 ppm, NOx: 1.95 ppm
12:05:59.276 -> O3: 1.48 ppm, NOx: 1.87 ppm
12:06:04.384 -> O3: 1.41 ppm, NOx: 1.70 ppm
12:06:09.481 -> O3: 2.04 ppm, NOx: 3.48 ppm
12:06:14.559 -> O3: 1.93 ppm, NOx: 3.04 ppm
12:06:19.668 -> O3: 0.86 ppm, NOx: 0.61 ppm
12:06:24.746 -> O3: 0.82 ppm, NOx: 0.35 ppm
12:06:29.814 -> O3: 0.87 ppm, NOx: 0.63 ppm
12:06:34.923 -> O3: 0.95 ppm, NOx: 0.79 ppm
12:06:40.034 -> O3: 0.94 ppm, NOx: 0.76 ppm
12:06:45.133 -> O3: 1.03 ppm, NOx: 0.87 ppm
12:06:50.227 -> O3: 1.11 ppm, NOx: 1.02 ppm
12:06:55.296 -> O3: 1.15 ppm, NOx: 1.14 ppm
12:07:00.394 -> O3: 1.03 ppm, NOx: 0.91 ppm
12:07:05.489 -> O3: 1.14 ppm, NOx: 1.07 ppm
12:07:10.580 -> O3: 1.22 ppm, NOx: 1.28 ppm
12:07:15.666 -> O3: 1.08 ppm, NOx: 0.98 ppm
12:01:49.780 -> O3: 1.01 ppm, NOx: 0.87 ppm
12:01:54.876 -> O3: 1.01 ppm, NOx: 0.87 ppm
12:01:59.962 -> O3: 1.02 ppm, NOx: 0.88 ppm
12:02:05.068 -> O3: 1.01 ppm, NOx: 0.88 ppm
12:02:10.169 -> O3: 1.03 ppm, NOx: 0.87 ppm
12:02:15.244 -> O3: 1.05 ppm, NOx: 0.93 ppm
12:02:20.349 -> O3: 1.09 ppm, NOx: 1.00 ppm
12:02:25.438 -> O3: 1.05 ppm, NOx: 0.90 ppm
12:02:30.491 -> O3: 1.02 ppm, NOx: 0.88 ppm
12:02:35.619 -> O3: 1.04 ppm, NOx: 0.90 ppm
12:02:40.700 -> O3: 1.04 ppm, NOx: 0.91 ppm
12:02:45.766 -> O3: 1.06 ppm, NOx: 0.91 ppm
12:02:50.888 -> O3: 0.94 ppm, NOx: 0.74 ppm
12:02:55.980 -> O3: 0.99 ppm, NOx: 0.85 ppm
12:03:01.062 -> O3: 1.05 ppm, NOx: 0.96 ppm
12:03:06.156 -> O3: 1.05 ppm, NOx: 0.93 ppm
12:03:11.226 -> O3: 1.03 ppm, NOx: 0.88 ppm
12:03:16.341 -> O3: 0.93 ppm, NOx: 0.73 ppm
12:03:21.431 -> O3: 0.94 ppm, NOx: 0.74 ppm
12:03:26.506 -> O3: 0.93 ppm, NOx: 0.80 ppm
12:03:31.597 -> O3: 1.03 ppm, NOx: 0.93 ppm
12:03:36.724 -> O3: 1.09 ppm, NOx: 0.98 ppm
12:03:41.781 -> O3: 1.07 ppm, NOx: 0.91 ppm
12:03:46.872 -> O3: 1.02 ppm, NOx: 0.87 ppm
12:03:51.982 -> O3: 1.01 ppm, NOx: 0.85 ppm
12:03:57.088 -> O3: 0.97 ppm, NOx: 0.80 ppm
12:04:02.147 -> O3: 1.01 ppm, NOx: 0.87 ppm
12:04:07.281 -> O3: 0.99 ppm, NOx: 0.85 ppm
12:04:12.357 -> O3: 0.96 ppm, NOx: 0.77 ppm
12:04:17.423 -> O3: 1.01 ppm, NOx: 0.88 ppm
12:04:22.547 -> O3: 1.04 ppm, NOx: 0.95 ppm
12:04:27.638 -> O3: 0.97 ppm, NOx: 0.80 ppm
11:57:55.533 -> O3: 1.16 ppm, NOx: 1.05 ppm
11:58:00.659 -> O3: 0.94 ppm, NOx: 1.07 ppm
11:58:05.717 -> O3: 1.15 ppm, NOx: 1.05 ppm
11:58:10.809 -> O3: 1.23 ppm, NOx: 1.22 ppm
11:58:15.942 -> O3: 1.16 ppm, NOx: 1.07 ppm
11:58:21.010 -> O3: 1.23 ppm, NOx: 1.20 ppm
11:58:26.104 -> O3: 1.20 ppm, NOx: 1.14 ppm
11:58:31.203 -> O3: 1.06 ppm, NOx: 0.88 ppm
11:58:36.264 -> O3: 1.06 ppm, NOx: 0.87 ppm
11:58:41.358 -> O3: 1.09 ppm, NOx: 0.93 ppm
11:58:46.475 -> O3: 1.07 ppm, NOx: 0.90 ppm
11:58:51.539 -> O3: 0.98 ppm, NOx: 0.77 ppm
11:58:56.631 -> O3: 1.01 ppm, NOx: 0.80 ppm
11:59:01.747 -> O3: 1.03 ppm, NOx: 0.83 ppm
11:59:06.815 -> O3: 0.96 ppm, NOx: 0.73 ppm
11:59:11.935 -> O3: 0.92 ppm, NOx: 0.63 ppm
11:59:17.031 -> O3: 0.95 ppm, NOx: 0.70 ppm
11:59:22.135 -> O3: 1.02 ppm, NOx: 0.82 ppm
11:59:27.182 -> O3: 1.04 ppm, NOx: 0.85 ppm
11:59:32.309 -> O3: 1.11 ppm, NOx: 0.98 ppm
11:59:37.396 -> O3: 1.20 ppm, NOx: 1.16 ppm
11:59:42.457 -> O3: 1.12 ppm, NOx: 0.96 ppm
11:59:47.569 -> O3: 1.17 ppm, NOx: 1.13 ppm
11:59:52.675 -> O3: 1.10 ppm, NOx: 0.96 ppm
11:59:57.753 -> O3: 1.12 ppm, NOx: 1.13 ppm
12:00:02.825 -> O3: 1.19 ppm, NOx: 1.14 ppm
12:00:07.936 -> O3: 1.08 ppm, NOx: 0.93 ppm
12:00:13.042 -> O3: 1.14 ppm, NOx: 1.00 ppm
12:00:18.101 -> O3: 0.97 ppm, NOx: 0.76 ppm
12:00:23.191 -> O3: 1.05 ppm, NOx: 0.96 ppm
12:00:28.287 -> O3: 1.07 ppm, NOx: 1.02 ppm
12:00:33.375 -> O3: 1.18 ppm, NOx: 1.22 ppm
12:00:38.514 -> O3: 1.16 ppm, NOx: 1.11 ppm
12:00:43.581 -> O3: 1.10 ppm, NOx: 0.96 ppm
12:00:48.694 -> O3: 1.09 ppm, NOx: 1.02 ppm
12:00:53.772 -> O3: 1.16 ppm, NOx: 1.13 ppm
12:00:58.834 -> O3: 1.07 ppm, NOx: 0.98 ppm
12:01:03.926 -> O3: 1.10 ppm, NOx: 0.98 ppm
12:01:09.043 -> O3: 1.04 ppm, NOx: 0.93 ppm
12:01:14.142 -> O3: 1.07 ppm, NOx: 0.96 ppm
12:01:19.230 -> O3: 1.04 ppm, NOx: 0.88 ppm
12:01:24.318 -> O3: 1.04 ppm, NOx: 0.91 ppm
12:01:29.389 -> O3: 0.97 ppm, NOx: 0.80 ppm
12:01:34.514 -> O3: 0.93 ppm, NOx: 0.73 ppm
12:01:39.598 -> O3: 0.95 ppm, NOx: 0.74 ppm
12:01:44.690 -> O3: 1.01 ppm, NOx: 0.87 ppm
12:01:49.780 -> O3: 1.01 ppm, NOx: 0.87 ppm
12:01:54.876 -> O3: 1.01 ppm, NOx: 0.87 ppm
12:01:59.962 -> O3: 1.02 ppm, NOx: 0.88 ppm
12:02:05.068 -> O3: 1.01 ppm, NOx: 0.88 ppm
12:02:10.169 -> O3: 1.03 ppm, NOx: 0.87 ppm
12:02:15.244 -> O3: 1.05 ppm, NOx: 0.93 ppm
12:02:20.349 -> O3: 1.09 ppm, NOx: 1.00 ppm
12:02:25.438 -> O3: 1.05 ppm, NOx: 0.90 ppm
12:02:30.491 -> O3: 1.02 ppm, NOx: 0.88 ppm
12:02:35.619 -> O3: 1.04 ppm, NOx: 0.90 ppm
12:02:40.700 -> O3: 1.04 ppm, NOx: 0.91 ppm
12:02:45.766 -> O3: 1.06 ppm, NOx: 0.91 ppm
12:02:50.888 -> O3: 0.94 ppm, NOx: 0.74 ppm
12:02:55.980 -> O3: 0.99 ppm, NOx: 0.85 ppm
12:03:01.062 -> O3: 1.05 ppm, NOx: 0.96 ppm
12:03:06.156 -> O3: 1.05 ppm, NOx: 0.93 ppm
12:03:11.226 -> O3: 1.03 ppm, NOx: 0.88 ppm
12:03:16.341 -> O3: 0.93 ppm, NOx: 0.73 ppm
12:03:21.431 -> O3: 0.94 ppm, NOx: 0.74 ppm
12:03:26.506 -> O3: 0.93 ppm, NOx: 0.80 ppm
12:03:31.597 -> O3: 1.03 ppm, NOx: 0.93 ppm
11:56:49.374 -> O3: 1.15 ppm, NOx: 1.16 ppm
11:56:54.432 -> O3: 1.01 ppm, NOx: 0.87 ppm
11:56:59.552 -> O3: 1.17 ppm, NOx: 1.09 ppm
11:57:04.616 -> O3: 1.26 ppm, NOx: 1.28 ppm
11:57:09.711 -> O3: 1.32 ppm, NOx: 1.45 ppm
11:57:14.799 -> O3: 1.29 ppm, NOx: 1.47 ppm
11:57:19.891 -> O3: 1.18 ppm, NOx: 1.30 ppm
11:57:24.998 -> O3: 1.12 ppm, NOx: 1.13 ppm
11:57:30.112 -> O3: 1.05 ppm, NOx: 0.98 ppm
11:57:35.169 -> O3: 1.07 ppm, NOx: 0.96 ppm
11:57:40.258 -> O3: 1.07 ppm, NOx: 0.91 ppm
11:57:45.376 -> O3: 1.12 ppm, NOx: 1.00 ppm
11:57:50.488 -> O3: 1.13 ppm, NOx: 1.00 ppm
11:57:55.533 -> O3: 1.16 ppm, NOx: 1.05 ppm
