12:36:21.631 -> 0.88 ppm  |  1.71 ppm
12:36:26.761 -> 0.94 ppm  |  1.73 ppm
12:36:31.811 -> 0.76 ppm  |  1.54 ppm
12:36:36.903 -> 0.74 ppm  |  1.51 ppm
12:36:42.014 -> 0.74 ppm  |  1.49 ppm
12:36:47.102 -> 0.76 ppm  |  1.54 ppm
12:36:52.182 -> 0.82 ppm  |  1.61 ppm
12:36:57.270 -> 0.80 ppm  |  1.61 ppm
12:37:02.377 -> 0.88 ppm  |  1.66 ppm
12:37:07.465 -> 0.88 ppm  |  1.68 ppm
12:37:12.545 -> 0.94 ppm  |  1.71 ppm
12:37:17.645 -> 0.92 ppm  |  1.73 ppm
12:37:22.741 -> 0.86 ppm  |  1.68 ppm
12:37:27.817 -> 0.88 ppm  |  1.71 ppm
12:37:32.922 -> 0.88 ppm  |  1.66 ppm
12:37:38.044 -> 0.88 ppm  |  1.68 ppm
12:37:43.136 -> 0.94 ppm  |  1.76 ppm
12:37:48.203 -> 0.99 ppm  |  1.84 ppm
12:37:53.283 -> 0.99 ppm  |  1.81 ppm
12:37:58.384 -> 0.94 ppm  |  1.76 ppm
12:38:03.455 -> 0.84 ppm  |  1.63 ppm
12:38:08.571 -> 0.96 ppm  |  1.76 ppm
12:38:13.654 -> 0.92 ppm  |  1.71 ppm
12:38:18.730 -> 0.96 ppm  |  1.81 ppm
12:38:23.826 -> 0.99 ppm  |  1.81 ppm
12:38:28.926 -> 0.96 ppm  |  1.76 ppm
12:38:34.017 -> 1.06 ppm  |  1.89 ppm
12:38:39.097 -> 1.01 ppm  |  1.84 ppm
12:38:44.189 -> 1.01 ppm  |  1.79 ppm
12:38:49.281 -> 0.99 ppm  |  1.79 ppm
12:38:54.417 -> 0.99 ppm  |  1.81 ppm
2:38:49.281 -> 0.99 ppm  |  1.79 ppm
12:38:54.417 -> 0.99 ppm  |  1.81 ppm
12:38:59.505 -> 0.88 ppm  |  1.66 ppm
12:39:04.576 -> 1.01 ppm  |  1.87 ppm
12:39:09.690 -> 1.03 ppm  |  1.87 ppm
12:39:14.752 -> 1.08 ppm  |  1.95 ppm
12:39:19.827 -> 1.13 ppm  |  1.98 ppm
12:39:24.920 -> 0.92 ppm  |  1.76 ppm
12:39:30.023 -> 1.06 ppm  |  1.89 ppm
12:39:35.108 -> 0.96 ppm  |  1.81 ppm
12:39:40.196 -> 0.96 ppm  |  1.81 ppm
12:39:45.327 -> 1.08 ppm  |  1.92 ppm
12:39:50.379 -> 1.08 ppm  |  1.92 ppm
12:39:55.482 -> 1.11 ppm  |  1.95 ppm
12:40:00.574 -> 1.08 ppm  |  1.87 ppm
12:40:05.692 -> 1.01 ppm  |  1.84 ppm
12:40:10.783 -> 1.03 ppm  |  1.87 ppm
12:40:15.845 -> 1.01 ppm  |  1.84 ppm
12:40:20.950 -> 1.08 ppm  |  1.92 ppm
12:40:26.022 -> 0.94 ppm  |  1.73 ppm
12:40:31.110 -> 1.06 ppm  |  1.89 ppm
12:40:36.202 -> 1.11 ppm  |  1.95 ppm
12:40:41.301 -> 1.01 ppm  |  1.84 ppm
12:40:46.392 -> 1.06 ppm  |  1.87 ppm
12:40:51.517 -> 1.24 ppm  |  2.01 ppm
12:40:56.569 -> 1.11 ppm  |  1.95 ppm
12:41:01.700 -> 1.11 ppm  |  1.95 ppm
12:41:06.797 -> 1.16 ppm  |  1.98 ppm
12:41:11.844 -> 1.19 ppm  |  2.03 ppm
12:41:16.940 -> 1.06 ppm  |  1.89 ppm
12:41:22.035 -> 1.08 ppm  |  1.92 ppm
12:41:27.122 -> 1.08 ppm  |  1.92 ppm
12:41:32.226 -> 1.01 ppm  |  1.84 ppm
12:41:37.310 -> 1.13 ppm  |  1.98 ppm
12:41:42.390 -> 1.01 ppm  |  1.84 ppm
12:41:47.490 -> 1.03 ppm  |  1.87 ppm
12:41:52.574 -> 1.13 ppm  |  2.03 ppm
12:41:57.665 -> 1.03 ppm  |  1.87 ppm
12:42:02.770 -> 1.11 ppm  |  1.95 ppm
12:42:07.894 -> 1.33 ppm  |  2.06 ppm
12:42:12.976 -> 1.54 ppm  |  2.21 ppm
12:42:18.033 -> 1.27 ppm  |  2.15 ppm
12:42:23.129 -> 1.13 ppm  |  2.06 ppm
12:42:28.236 -> 1.33 ppm  |  2.21 ppm
12:42:33.320 -> 1.30 ppm  |  2.18 ppm
12:42:38.417 -> 1.24 ppm  |  2.09 ppm
12:42:43.508 -> 1.27 ppm  |  2.12 ppm
12:42:48.600 -> 1.36 ppm  |  2.18 ppm
12:42:53.692 -> 1.36 ppm  |  2.24 ppm
12:42:58.770 -> 1.30 ppm  |  2.18 ppm
12:43:03.855 -> 1.36 ppm  |  2.24 ppm
12:43:08.947 -> 1.27 ppm  |  2.12 ppm
12:43:14.039 -> 1.06 ppm  |  1.95 ppm
12:43:19.131 -> 1.54 ppm  |  2.40 ppm
12:43:24.259 -> 1.08 ppm  |  2.03 ppm
12:43:29.360 -> 0.96 ppm  |  1.79 ppm
12:43:34.410 -> 0.92 ppm  |  1.73 ppm
12:43:39.534 -> 0.88 ppm  |  1.68 ppm
12:43:44.632 -> 0.72 ppm  |  1.49 ppm
12:43:49.693 -> 1.19 ppm  |  2.21 ppm
12:43:54.774 -> 1.08 ppm  |  1.89 ppm
12:43:59.861 -> 1.11 ppm  |  1.89 ppm
12:44:04.961 -> 1.03 ppm  |  1.89 ppm
12:44:10.045 -> 1.36 ppm  |  2.21 ppm
12:44:15.144 -> 1.13 ppm  |  1.87 ppm
12:44:20.244 -> 1.36 ppm  |  2.15 ppm
12:43:54.774 -> 1.08 ppm  |  1.89 ppm
12:43:59.861 -> 1.11 ppm  |  1.89 ppm
12:44:04.961 -> 1.03 ppm  |  1.89 ppm
12:44:10.045 -> 1.36 ppm  |  2.21 ppm
12:44:15.144 -> 1.13 ppm  |  1.87 ppm
12:44:20.244 -> 1.36 ppm  |  2.15 ppm
12:44:25.320 -> 1.24 ppm  |  2.18 ppm
12:44:30.458 -> 1.51 ppm  |  2.27 ppm
12:44:35.522 -> 1.39 ppm  |  2.12 ppm
12:44:40.592 -> 1.30 ppm  |  2.09 ppm
12:44:45.703 -> 1.11 ppm  |  2.03 ppm
12:44:50.775 -> 0.82 ppm  |  1.63 ppm
12:44:55.867 -> 1.16 ppm  |  2.01 ppm
12:45:00.982 -> 0.94 ppm  |  1.73 ppm
12:45:06.058 -> 1.03 ppm  |  1.81 ppm
12:45:11.188 -> 1.21 ppm  |  2.06 ppm
